time,SMControlTest.done,SMControlTest.s[3:0],SMControlTest.rsshr,SMControlTest.rsload,SMControlTest.rsclear,SMControlTest.n[3:0],SMControlTest.mrld,SMControlTest.mdld,SMControlTest.continue,SMControlTest.NUM_BITS,SMControlTest.clk,SMControlTest.errors[7:0],SMControlTest.mr[3:0],SMControlTest.reset_state[3:0],SMControlTest.rst,SMControlTest.start,SMControlTest.to_visit[15:0],SMControlTest.visited[15:0],SMControlTest.multiplier[31:0],SMControlTest.rs[31:0],SMControlTest.st[31:0],SMControlTest.stop_loop[31:0],SMControlTest.control.clk,SMControlTest.control.done,SMControlTest.control.mdld,SMControlTest.control.mr[3:0],SMControlTest.control.mrld,SMControlTest.control.reset_state[3:0],SMControlTest.control.rsclear,SMControlTest.control.rsload,SMControlTest.control.rsshr,SMControlTest.control.rst,SMControlTest.control.start,SMControlTest.control.n[3:0],SMControlTest.control.s[3:0]
90,z,0,0,0,0,0,0,0,1,100,1,0,0,0,1,0,1,0,0,0,0,0,1,z,0,0,0,0,0,0,0,1,0,0,0
100,z,0,0,0,0,0,0,0,1,100,0,0,0,0,1,0,1,0,0,0,0,0,0,z,0,0,0,0,0,0,0,1,0,0,0
120,z,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,1,0,0,0,0,0,0,z,0,0,0,0,0,0,0,0,0,0,0
140,z,0,0,0,0,0,0,0,1,100,1,0,0,0,0,0,1,0,0,0,0,0,1,z,0,0,0,0,0,0,0,0,0,0,0
160,z,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,1,0,0,0,1,0,0,z,0,0,0,0,0,0,0,0,0,0,0
190,z,0,0,0,0,1,0,0,1,100,0,0,0,0,0,1,1,0,0,0,1,0,0,z,0,0,0,0,0,0,0,0,1,1,0
210,z,0,0,0,0,1,0,0,1,100,0,0,0,0,1,1,1,0,0,0,1,0,0,z,0,0,0,0,0,0,0,1,1,1,0
230,z,0,0,0,0,1,0,0,1,100,1,0,0,0,1,1,1,0,0,0,1,0,1,z,0,0,0,0,0,0,0,1,1,1,0
280,z,1,0,0,1,10,1,1,1,100,1,0,0,0,0,1,1,0,0,0,1,0,1,z,1,0,1,0,1,0,0,0,1,10,1
290,z,1,0,0,1,10,1,1,1,100,0,0,0,0,0,1,1,0,0,0,1,0,0,z,1,0,1,0,1,0,0,0,1,10,1
300,z,1,0,0,1,10,1,1,1,100,0,0,0,0,0,1,11,0,1,0,0,0,0,z,1,0,1,0,1,0,0,0,1,10,1
310,z,1,0,0,1,10,1,1,1,100,0,0,1,0,0,1,11,0,1,0,0,0,0,z,1,1,1,0,1,0,0,0,1,10,1
